year,selling_price,km_driven,fuel,seller_type,transmission,owner,brands,models
2013,280000.0,52000.0,Diesel,Dealer,Manual,First Owner,Hyundai,Other
2016,725000.0,49217.0,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Other
2015,300000.0,90000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2015,375000.0,70000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2003,310000.0,90000.0,Petrol,Individual,Manual,Fourth & Above Owner,Honda,Other
2011,375000.0,190000.0,Diesel,Individual,Manual,Third Owner,Maruti,Maruti Swift Dzire
2016,1950000.0,106000.0,Diesel,Individual,Automatic,First Owner,Ford,Other
2012,400000.0,80000.0,Diesel,Individual,Manual,Second Owner,Tata,Other
2014,550000.0,80000.0,Diesel,Individual,Manual,Second Owner,Nissan,Other
2018,270000.0,20000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2012,555000.0,110000.0,Diesel,Individual,Manual,Second Owner,Maruti,Other
2013,500000.0,60000.0,Diesel,Individual,Manual,Second Owner,Ford,Other
2010,400000.0,130000.0,Diesel,Individual,Automatic,Second Owner,Skoda,Other
2017,280000.0,28838.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2008,80000.0,200000.0,Petrol,Individual,Manual,First Owner,Tata,Other
2006,55000.0,100000.0,Diesel,Individual,Manual,First Owner,Tata,Other
2014,250000.0,50000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto 800
2010,250000.0,190000.0,Diesel,Individual,Manual,Fourth & Above Owner,Mahindra,Other
2007,95000.0,100000.0,Diesel,Individual,Manual,Second Owner,Mahindra,Other
2014,725000.0,135000.0,Diesel,Individual,Manual,Second Owner,Mahindra,Other
2015,320000.0,50000.0,Diesel,Individual,Manual,Third Owner,Mahindra,Other
2014,1200000.0,135000.0,Diesel,Individual,Automatic,Third Owner,Skoda,Other
2012,160000.0,50000.0,Diesel,Individual,Manual,First Owner,Chevrolet,Chevrolet Beat Diesel
2018,790000.0,19571.0,Diesel,Dealer,Manual,First Owner,Honda,Other
2018,1200000.0,29600.0,Petrol,Dealer,Manual,First Owner,Honda,Other
2011,175000.0,70000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2018,950000.0,15000.0,Diesel,Individual,Automatic,First Owner,Maruti,Other
2019,340000.0,50000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2017,825000.0,13500.0,Diesel,Individual,Manual,First Owner,Renault,Other
2018,2675000.0,22000.0,Petrol,Individual,Automatic,First Owner,Audi,Other
2018,780000.0,25000.0,Diesel,Dealer,Manual,First Owner,Honda,Other
2010,350000.0,80000.0,Petrol,Individual,Automatic,Third Owner,Toyota,Other
2018,690000.0,39000.0,Petrol,Dealer,Manual,First Owner,Honda,Other
2016,245000.0,60000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto 800
2018,790000.0,49000.0,Diesel,Dealer,Manual,First Owner,Honda,Other
2018,680000.0,48600.0,Petrol,Dealer,Manual,First Owner,Honda,Other
2017,540000.0,20000.0,Petrol,Individual,Manual,Second Owner,Hyundai,Hyundai Grand i10
2016,425000.0,25000.0,Petrol,Individual,Manual,First Owner,Mahindra,Other
2008,140000.0,120000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2019,1100000.0,30000.0,Diesel,Individual,Manual,First Owner,Maruti,Other
2015,715000.0,35000.0,Diesel,Individual,Manual,First Owner,Renault,Other
2015,1750000.0,127643.0,Diesel,Dealer,Automatic,First Owner,Audi,Other
2018,400000.0,54000.0,Petrol,Dealer,Manual,Second Owner,Tata,Other
2014,1750000.0,102354.0,Diesel,Dealer,Automatic,First Owner,Audi,Other
2014,1850000.0,62237.0,Petrol,Dealer,Automatic,First Owner,Audi,Other
2005,114999.0,90000.0,Petrol,Dealer,Manual,Second Owner,Hyundai,Hyundai Santro Xing
2018,950000.0,21394.0,Diesel,Dealer,Manual,First Owner,Ford,Ford EcoSport 1.5
2015,310000.0,32686.0,Petrol,Dealer,Manual,First Owner,Datsun,Other
2006,575000.0,1001.0,Diesel,Dealer,Manual,First Owner,Mahindra,Other
2017,490000.0,22000.0,Diesel,Dealer,Manual,First Owner,Renault,Other
2017,480000.0,53261.0,Petrol,Dealer,Manual,First Owner,Hyundai,Hyundai Grand i10
2016,2675000.0,53000.0,Diesel,Dealer,Automatic,First Owner,Others,Other
2018,370000.0,10000.0,Petrol,Dealer,Manual,First Owner,Renault,Other
2017,835000.0,14000.0,Diesel,Dealer,Manual,First Owner,Maruti,Other
2017,650000.0,44000.0,Petrol,Dealer,Manual,First Owner,Volkswagen,Other
2014,670000.0,39895.0,Diesel,Dealer,Manual,First Owner,Toyota,Other
2017,950000.0,73000.0,Diesel,Dealer,Automatic,First Owner,Chevrolet,Other
2014,690000.0,17000.0,Petrol,Dealer,Manual,First Owner,Honda,Other
2017,670000.0,18591.0,Petrol,Dealer,Manual,First Owner,Volkswagen,Other
2017,925000.0,26766.0,Diesel,Dealer,Manual,First Owner,Tata,Other
2015,250000.0,30000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2016,509999.0,42000.0,Diesel,Individual,Manual,First Owner,Tata,Other
2014,520000.0,110000.0,Diesel,Individual,Manual,First Owner,Honda,Other
2005,100000.0,100000.0,Diesel,Individual,Manual,First Owner,Tata,Other
2006,85000.0,223158.4,Diesel,Individual,Manual,Second Owner,Tata,Other
2009,130000.0,110000.0,Diesel,Individual,Manual,Third Owner,Tata,Other
2018,950000.0,27620.0,Diesel,Dealer,Manual,First Owner,Ford,Ford EcoSport 1.5
2015,450000.0,70000.0,Petrol,Individual,Manual,First Owner,Ford,Other
2012,320000.0,50000.0,Petrol,Individual,Manual,Second Owner,Honda,Other
2015,480000.0,50000.0,Diesel,Individual,Manual,First Owner,Maruti,Maruti Swift Dzire
2014,2490000.0,46000.0,Diesel,Individual,Automatic,First Owner,Mercedes-Benz,Other
2012,790000.0,82000.0,Diesel,Individual,Manual,First Owner,Toyota,Toyota Innova 2.5
2016,120000.0,120000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2006,75000.0,80000.0,Petrol,Individual,Manual,Third Owner,Maruti,Maruti Alto LXi
2010,99000.0,70000.0,Petrol,Individual,Manual,First Owner,Tata,Other
2018,1015000.0,20000.0,Diesel,Individual,Manual,First Owner,Maruti,Other
2013,250000.0,200000.0,Diesel,Individual,Manual,Second Owner,Mahindra,Other
2011,520000.0,120000.0,Diesel,Individual,Manual,First Owner,Toyota,Other
2018,1100000.0,30000.0,Diesel,Individual,Automatic,First Owner,Hyundai,Other
2005,200000.0,223000.0,Diesel,Individual,Manual,First Owner,Toyota,Toyota Innova 2.5
2016,525000.0,60000.0,Diesel,Individual,Manual,First Owner,Maruti,Maruti Swift Dzire
2016,500000.0,40000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2016,675000.0,161327.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2009,150000.0,60000.0,Petrol,Individual,Manual,Third Owner,Hyundai,Other
2007,250000.0,50000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2018,450000.0,6000.0,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Grand i10
2009,150000.0,68000.0,Petrol,Individual,Manual,Second Owner,Hyundai,Hyundai Santro Xing
2012,200000.0,85000.0,Diesel,Individual,Manual,First Owner,Chevrolet,Chevrolet Beat Diesel
2011,525000.0,70000.0,Diesel,Individual,Automatic,First Owner,Mahindra,Other
1999,60000.0,35000.0,Petrol,Individual,Manual,Second Owner,Maruti,Other
2010,180000.0,100000.0,Diesel,Individual,Manual,Second Owner,Maruti,Other
2015,475000.0,110000.0,Diesel,Individual,Manual,First Owner,Honda,Other
2010,380000.0,195000.0,Diesel,Individual,Automatic,Second Owner,Mahindra,Other
2015,285000.0,46000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto 800
2008,91200.0,60000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto LXi
2015,400000.0,42000.0,Diesel,Individual,Manual,First Owner,Hyundai,Hyundai Grand i10
2006,160000.0,90000.0,Petrol,Individual,Automatic,Second Owner,Hyundai,Hyundai Santro Xing
2012,650000.0,85000.0,Diesel,Individual,Manual,Second Owner,Skoda,Other
2012,409999.0,120000.0,Diesel,Individual,Manual,Third Owner,Hyundai,Hyundai Verna 1.6
2013,425000.0,72000.0,Diesel,Individual,Manual,First Owner,Ford,Other
2013,250000.0,71000.0,CNG,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
2009,200000.0,110000.0,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Maruti Swift Dzire
2010,130000.0,144000.0,Diesel,Individual,Manual,Fourth & Above Owner,Volkswagen,Other
2017,260000.0,30000.0,Petrol,Dealer,Manual,First Owner,Maruti,Other
2007,155000.0,65000.0,Petrol,Dealer,Manual,First Owner,Hyundai,Other
2015,450000.0,38000.0,Diesel,Individual,Manual,First Owner,Honda,Other
2012,220000.0,90000.0,Petrol,Individual,Manual,Second Owner,Maruti,Other
2018,650000.0,37000.0,Diesel,Dealer,Manual,First Owner,Hyundai,Other
2018,285000.0,30000.0,Petrol,Dealer,Manual,First Owner,Maruti,Maruti Alto 800
2018,725000.0,26000.0,Petrol,Dealer,Automatic,First Owner,Honda,Other
2016,625000.0,30000.0,Petrol,Dealer,Manual,First Owner,Maruti,Other
2016,550000.0,23000.0,Petrol,Dealer,Manual,First Owner,Hyundai,Other
2012,240000.0,40000.0,Petrol,Dealer,Manual,First Owner,Hyundai,Other
2014,600000.0,27000.0,Diesel,Dealer,Manual,First Owner,Nissan,Other
2012,350000.0,65000.0,Diesel,Dealer,Manual,First Owner,Tata,Other
2015,245000.0,32000.0,Petrol,Dealer,Manual,First Owner,Hyundai,Other
2016,600000.0,56000.0,Diesel,Dealer,Manual,First Owner,Mahindra,Other
2017,2400000.0,30000.0,Diesel,Individual,Automatic,First Owner,BMW,Other
2014,620000.0,80000.0,Diesel,Dealer,Manual,First Owner,Mahindra,Other
2014,395000.0,52000.0,Petrol,Dealer,Manual,Second Owner,Maruti,Maruti Swift Dzire
2014,635000.0,13250.0,Petrol,Dealer,Manual,First Owner,Maruti,Other
2011,180000.0,36000.0,Petrol,Dealer,Manual,First Owner,Maruti,Maruti Alto LX
2015,484999.0,73000.0,Diesel,Dealer,Manual,Second Owner,Maruti,Other
2004,110000.0,60000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto LX
2006,150000.0,60000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
2012,400000.0,110000.0,Diesel,Individual,Manual,First Owner,Chevrolet,Other
2012,200000.0,70000.0,Diesel,Individual,Manual,Second Owner,Tata,Tata Indica Vista
2013,302000.0,60000.0,Diesel,Individual,Manual,Second Owner,Renault,Other
2011,215000.0,90000.0,Diesel,Individual,Manual,Fourth & Above Owner,Maruti,Maruti Swift Dzire
2004,155000.0,80000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
2014,1000000.0,101000.0,Diesel,Individual,Manual,Second Owner,Toyota,Toyota Innova 2.5
2018,550000.0,44000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2006,200000.0,45000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2017,750000.0,120000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2005,90000.0,90000.0,Petrol,Individual,Manual,Second Owner,Maruti,Other
2007,80000.0,120000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
2013,229999.0,13500.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2017,350000.0,10000.0,Petrol,Individual,Manual,First Owner,Renault,Other
2015,325000.0,25000.0,Petrol,Individual,Manual,Third Owner,Hyundai,Hyundai Grand i10
2018,450000.0,8500.0,Petrol,Individual,Manual,First Owner,Tata,Other
2012,250000.0,120000.0,Diesel,Individual,Manual,First Owner,Maruti,Other
2012,225000.0,120000.0,Diesel,Individual,Manual,First Owner,Volkswagen,Other
2009,150000.0,90246.0,Petrol,Individual,Manual,Third Owner,Maruti,Maruti Alto LXi
2008,110000.0,90000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto LX
2010,150000.0,40000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto LXi
2000,165000.0,60000.0,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Other
2017,610000.0,32000.0,Diesel,Individual,Manual,Second Owner,Renault,Other
2013,170000.0,60400.0,Diesel,Individual,Manual,First Owner,Tata,Other
2008,150000.0,70950.0,Diesel,Individual,Manual,Second Owner,Hyundai,Other
2015,375000.0,72000.0,Diesel,Individual,Manual,First Owner,Hyundai,Other
2013,390000.0,90000.0,Diesel,Individual,Manual,First Owner,Maruti,Maruti Swift VDI
2017,600000.0,10000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2014,204999.0,25000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto 800
2009,270000.0,80000.0,Diesel,Individual,Manual,Second Owner,Hyundai,Other
2017,375000.0,10000.0,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Grand i10
2020,700000.0,1100.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2017,455000.0,40000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2017,375000.0,10000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2014,341000.0,31491.0,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Grand i10
2014,200000.0,107143.0,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Swift Dzire
2017,450000.0,15000.0,Petrol,Individual,Automatic,First Owner,Maruti,Other
2012,170000.0,50000.0,Petrol,Individual,Manual,Second Owner,Hyundai,Hyundai Santro Xing
2017,1900000.0,100000.0,Diesel,Individual,Manual,First Owner,Toyota,Other
2016,500000.0,60000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2016,819999.0,85000.0,Diesel,Individual,Manual,First Owner,Maruti,Other
2014,351000.0,40000.0,Petrol,Individual,Manual,Second Owner,Maruti,Other
2011,195000.0,80000.0,Petrol,Individual,Manual,Second Owner,Hyundai,Other
2008,250000.0,82000.0,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Swift Dzire
2008,120000.0,70000.0,Petrol,Individual,Manual,Second Owner,Maruti,Other
2009,180000.0,70000.0,Petrol,Individual,Manual,Third Owner,Maruti,Other
2016,430000.0,20000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2012,75000.0,35000.0,Petrol,Individual,Manual,Second Owner,Tata,Other
2017,750000.0,80000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2011,60000.0,40000.0,Petrol,Individual,Manual,First Owner,Tata,Other
2015,1500000.0,46412.0,Diesel,Individual,Manual,First Owner,Toyota,Toyota Innova 2.5
2011,390000.0,150000.0,Diesel,Individual,Manual,Fourth & Above Owner,Mahindra,Other
2016,630000.0,50000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2018,1085000.0,15000.0,Diesel,Individual,Manual,First Owner,Tata,Other
2012,190000.0,60000.0,Petrol,Individual,Manual,Second Owner,Hyundai,Other
2018,550000.0,25000.0,Petrol,Individual,Automatic,First Owner,Maruti,Other
2012,200000.0,90000.0,Petrol,Individual,Manual,Third Owner,Maruti,Maruti Alto 800
2011,165000.0,60000.0,Petrol,Individual,Manual,First Owner,Chevrolet,Other
2013,260000.0,65000.0,Diesel,Individual,Manual,First Owner,Ford,Ford Figo Diesel
2011,151000.0,40000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto LX
2018,780000.0,50000.0,Diesel,Individual,Manual,First Owner,Maruti,Other
2012,175000.0,80000.0,Diesel,Individual,Manual,Third Owner,Tata,Tata Indica Vista
2010,170000.0,107500.0,Diesel,Dealer,Manual,First Owner,Tata,Tata Indica Vista
2013,210000.0,135000.0,Diesel,Dealer,Manual,Second Owner,Tata,Tata Indica Vista
2007,90000.0,43826.0,Petrol,Dealer,Manual,Second Owner,Maruti,Maruti Alto LXi
2016,535000.0,55838.0,Petrol,Dealer,Manual,First Owner,Hyundai,Other
2007,195000.0,112880.0,Diesel,Dealer,Manual,First Owner,Maruti,Maruti Swift VDI
2011,140000.0,90000.0,Diesel,Individual,Manual,Third Owner,Tata,Tata Indica Vista
2012,350000.0,40000.0,Petrol,Individual,Manual,First Owner,Nissan,Other
2013,425000.0,66000.0,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Verna 1.6
2017,300000.0,30300.0,Petrol,Individual,Manual,First Owner,Renault,Other
2013,340000.0,85000.0,Diesel,Individual,Manual,Second Owner,Volkswagen,Other
2009,250000.0,80659.0,Petrol,Dealer,Manual,First Owner,Maruti,Maruti Swift Dzire
2008,170000.0,81324.0,Petrol,Dealer,Manual,First Owner,Chevrolet,Other
2013,315000.0,127884.0,Diesel,Dealer,Manual,First Owner,Honda,Other
2015,200000.0,50000.0,Petrol,Individual,Manual,First Owner,Chevrolet,Other
2016,300000.0,25000.0,Petrol,Individual,Manual,First Owner,Chevrolet,Other
2015,300000.0,66755.0,Diesel,Dealer,Manual,First Owner,Honda,Other
2013,380000.0,123084.0,Petrol,Dealer,Manual,First Owner,Honda,Other
2009,250000.0,223158.4,Petrol,Dealer,Manual,First Owner,Maruti,Other
2013,310000.0,95851.0,Diesel,Dealer,Manual,First Owner,Honda,Other
2010,260000.0,50000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Wagon R
2008,150000.0,50000.0,Petrol,Individual,Manual,Second Owner,Maruti,Other
2006,85000.0,60000.0,Petrol,Individual,Manual,Second Owner,Maruti,Other
2015,280000.0,15000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto 800
2016,850000.0,40000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2017,375000.0,20000.0,Petrol,Individual,Manual,Second Owner,Datsun,Other
2006,125000.0,120000.0,Diesel,Individual,Manual,Third Owner,Hyundai,Other
2012,250000.0,110000.0,Diesel,Individual,Manual,First Owner,Chevrolet,Chevrolet Beat Diesel
2014,715000.0,223158.4,Diesel,Individual,Manual,First Owner,Toyota,Other
2011,220000.0,70000.0,Diesel,Individual,Manual,First Owner,Hyundai,Other
2010,110000.0,110000.0,Diesel,Individual,Manual,Second Owner,Tata,Tata Indica Vista
2007,150000.0,84000.0,Petrol,Individual,Manual,Second Owner,Hyundai,Other
2012,300000.0,170000.0,Diesel,Individual,Manual,First Owner,Nissan,Other
2017,220000.0,40000.0,Petrol,Individual,Manual,First Owner,Datsun,Other
2006,75000.0,96000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
2009,100000.0,20000.0,Diesel,Individual,Manual,First Owner,Tata,Other
2016,380000.0,15000.0,Petrol,Individual,Manual,First Owner,Ford,Other
2007,100000.0,50000.0,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Santro Xing
2010,480000.0,80000.0,Petrol,Individual,Manual,Second Owner,Volkswagen,Other
2012,300000.0,124000.0,Diesel,Individual,Manual,First Owner,Toyota,Other
2013,190000.0,70000.0,Diesel,Individual,Manual,First Owner,Chevrolet,Chevrolet Beat Diesel
2012,190000.0,130000.0,Diesel,Individual,Manual,Second Owner,Ford,Ford Figo Diesel
2017,650000.0,19014.0,Petrol,Dealer,Manual,First Owner,Ford,Ford EcoSport 1.5
2009,300000.0,23262.0,Petrol,Dealer,Manual,First Owner,Toyota,Other
2016,700000.0,29600.0,Diesel,Dealer,Manual,First Owner,Ford,Other
2015,310000.0,35925.0,Petrol,Dealer,Manual,First Owner,Hyundai,Other
2018,500000.0,12000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2013,415000.0,40771.0,Petrol,Dealer,Manual,First Owner,Toyota,Other
2015,395000.0,30500.0,Petrol,Dealer,Automatic,Second Owner,Maruti,Other
2014,430000.0,42000.0,Petrol,Dealer,Manual,Second Owner,Toyota,Other
2007,215000.0,55800.0,Petrol,Dealer,Manual,Second Owner,Toyota,Other
2014,550000.0,66569.0,Diesel,Dealer,Manual,First Owner,Renault,Other
2014,415000.0,81358.0,Diesel,Dealer,Manual,First Owner,Volkswagen,Other
2015,450000.0,82695.0,Diesel,Dealer,Manual,First Owner,Volkswagen,Other
2014,285000.0,68293.0,Diesel,Dealer,Manual,Second Owner,Ford,Ford Figo Diesel
2016,580000.0,32000.0,Petrol,Dealer,Automatic,First Owner,Honda,Other
2014,300000.0,190621.0,Diesel,Dealer,Manual,First Owner,Maruti,Maruti Swift Dzire
2018,1200000.0,60000.0,Diesel,Individual,Manual,First Owner,Hyundai,Other
2006,78000.0,64700.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2016,400000.0,88470.0,Diesel,Individual,Manual,First Owner,Tata,Other
2016,850000.0,75000.0,Diesel,Individual,Manual,First Owner,Hyundai,Hyundai Verna 1.6
2013,450000.0,120000.0,Diesel,Individual,Manual,Second Owner,Volkswagen,Other
2012,2500000.0,35000.0,Diesel,Individual,Automatic,First Owner,Mercedes-Benz,Other
2017,780000.0,70000.0,Diesel,Individual,Manual,First Owner,Toyota,Other
2017,2675000.0,57000.0,Diesel,Individual,Automatic,First Owner,Toyota,Other
2020,350000.0,1000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto 800
2013,285000.0,120000.0,Diesel,Individual,Manual,Second Owner,Mahindra,Other
2015,525000.0,98000.0,Diesel,Dealer,Manual,First Owner,Volkswagen,Other
2014,550000.0,90000.0,Diesel,Dealer,Manual,Second Owner,Maruti,Other
2018,580000.0,70000.0,Diesel,Individual,Manual,First Owner,Volkswagen,Other
2013,75000.0,25000.0,Petrol,Individual,Manual,Third Owner,Tata,Other
2009,185000.0,60000.0,Diesel,Individual,Manual,Third Owner,Tata,Other
2007,110000.0,90000.0,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Other
2004,180000.0,200000.0,Petrol,Individual,Manual,Second Owner,Honda,Other
2010,350000.0,110000.0,Diesel,Individual,Manual,Second Owner,Volkswagen,Other
2005,60000.0,126000.0,Petrol,Individual,Manual,Second Owner,Chevrolet,Other
2018,695000.0,70000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2019,2675000.0,5000.0,Diesel,Individual,Automatic,First Owner,Mahindra,Other
2007,135000.0,74183.0,Petrol,Individual,Manual,Second Owner,Maruti,Other
2015,640000.0,70000.0,Diesel,Individual,Manual,Second Owner,Mahindra,Other
2014,160000.0,90000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto 800
2004,80000.0,46000.0,Petrol,Individual,Manual,Second Owner,Tata,Other
2013,340000.0,110000.0,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Swift Dzire
2012,110000.0,80000.0,Diesel,Individual,Manual,Second Owner,Maruti,Other
2013,250000.0,90000.0,Diesel,Individual,Manual,Second Owner,Tata,Other
2017,1300000.0,70000.0,Diesel,Individual,Manual,First Owner,Toyota,Other
2014,250000.0,1.0,Diesel,Individual,Manual,Second Owner,Mahindra,Other
2009,450000.0,192000.0,Diesel,Individual,Manual,First Owner,Toyota,Toyota Innova 2.5
2013,240000.0,70000.0,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Maruti Wagon R
2007,225000.0,120000.0,Diesel,Individual,Manual,Second Owner,Mahindra,Other
2015,275000.0,60000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
2012,320000.0,120000.0,Diesel,Individual,Manual,Second Owner,Tata,Other
2008,75000.0,120000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto LX
2007,85000.0,50000.0,Petrol,Individual,Manual,Second Owner,Tata,Other
2009,90000.0,120000.0,Diesel,Individual,Manual,First Owner,Tata,Tata Indica Vista
2007,85000.0,80000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
2008,350000.0,80000.0,Diesel,Individual,Manual,Second Owner,Mahindra,Other
2009,355000.0,100000.0,Diesel,Individual,Automatic,Second Owner,Skoda,Other
2020,619000.0,1500.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2018,1700000.0,50000.0,Diesel,Individual,Manual,First Owner,Others,Other
2006,55000.0,100000.0,Diesel,Individual,Manual,Second Owner,Tata,Other
2006,95000.0,83411.0,Petrol,Individual,Manual,First Owner,Ford,Other
2011,300000.0,120000.0,Diesel,Individual,Manual,Second Owner,Volkswagen,Other
2006,81000.0,83411.0,Petrol,Individual,Manual,First Owner,Ford,Other
2015,1000000.0,80000.0,Diesel,Individual,Automatic,Second Owner,Skoda,Other
2019,925000.0,50000.0,Diesel,Individual,Manual,First Owner,Maruti,Other
2015,450000.0,40000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2014,600000.0,13270.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2006,85000.0,100000.0,Petrol,Individual,Automatic,Third Owner,Hyundai,Hyundai Santro Xing
2016,700000.0,50000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2017,486000.0,26500.0,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Grand i10
2013,400000.0,90000.0,Diesel,Individual,Manual,First Owner,Maruti,Maruti Swift VDI
2008,120000.0,100000.0,Petrol,Individual,Manual,Third Owner,Ford,Other
2018,275000.0,35000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto 800
2016,580000.0,57000.0,Diesel,Individual,Manual,First Owner,Hyundai,Other
2015,375000.0,70000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Swift Dzire
2015,229999.0,100000.0,Petrol,Individual,Manual,Third Owner,Maruti,Maruti Wagon R
2010,110000.0,88000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto LX
2017,600000.0,60000.0,Diesel,Individual,Manual,First Owner,Maruti,Maruti Swift Dzire
2009,120000.0,76000.0,Petrol,Individual,Manual,Second Owner,Maruti,Other
2010,200000.0,100000.0,Diesel,Individual,Manual,Second Owner,Ford,Ford Figo Diesel
2012,450000.0,110000.0,Diesel,Individual,Manual,Second Owner,Hyundai,Hyundai Verna 1.6
2012,550000.0,80000.0,Diesel,Individual,Manual,Second Owner,Hyundai,Hyundai Verna 1.6
2012,220000.0,80000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto LX
2001,40000.0,30000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2017,300000.0,20000.0,Petrol,Individual,Automatic,First Owner,Renault,Other
2018,630000.0,40000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2017,610000.0,40000.0,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Swift Dzire
2019,660000.0,7000.0,Petrol,Individual,Manual,Second Owner,Hyundai,Other
2012,220000.0,80000.0,LPG,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
2011,138000.0,90000.0,Diesel,Individual,Manual,Second Owner,Nissan,Other
2013,210000.0,13770.0,Diesel,Individual,Manual,First Owner,Nissan,Other
2005,125000.0,34000.0,Petrol,Dealer,Manual,First Owner,Maruti,Other
2008,125000.0,102000.0,Petrol,Dealer,Manual,First Owner,Maruti,Maruti Alto LXi
2014,725000.0,110000.0,Diesel,Individual,Manual,First Owner,Honda,Other
2011,170000.0,90000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto K10
2015,1200000.0,70000.0,Diesel,Individual,Manual,Third Owner,Toyota,Toyota Innova 2.5
2003,70000.0,90000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
2007,100000.0,70000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto LXi
2006,300000.0,80000.0,Petrol,Individual,Manual,Second Owner,Honda,Other
2013,450000.0,100000.0,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Swift VDI
2015,530000.0,100000.0,Diesel,Individual,Manual,First Owner,Maruti,Maruti Swift Dzire
2007,100000.0,143000.0,Petrol,Individual,Manual,Third Owner,Maruti,Other
